season,team,arena,wins,winpercent,playoffs,coach,topWS,color1,color2,srs,opponent
1988-89,Houston Rockets,The Summit,45,0.549,0.2,D. Chaney,H. Olajuwon (12.4),#CE1141,#C4CED4,0.22,Seattle SuperSonics (1-3)
1989-90,Houston Rockets,The Summit,41,0.5,0.2,D. Chaney,H. Olajuwon (11.2),#CE1141,#C4CED4,1.71,Los Angeles Lakers (1-3)
1990-91,Houston Rockets,The Summit,52,0.634,0.2,D. Chaney,O. Thorpe (10.4),#CE1141,#C4CED4,3.27,Los Angeles Lakers (0-3)
1991-92,Houston Rockets,The Summit,42,0.512,0,D. Chaney/R. Tomjanovich,H. Olajuwon (9.8),#CE1141,#C4CED4,-1.94,
1992-93,Houston Rockets,The Summit,55,0.671,0.4,R. Tomjanovich,H. Olajuwon (15.8),#CE1141,#C4CED4,3.57,Seattle SuperSonics (3-4)
1993-94,Houston Rockets,The Summit,58,0.707,1,R. Tomjanovich,H. Olajuwon (14.3),#CE1141,#C4CED4,4.19,New York Knicks (4-3)
1994-95,Houston Rockets,The Summit,47,0.573,1,R. Tomjanovich,H. Olajuwon (10.7),#CE1141,#C4CED4,2.32,Orlando Magic (4-0)
1995-96,Houston Rockets,The Summit,48,0.585,0.4,R. Tomjanovich,H. Olajuwon (9.7),#CE1141,#C4CED4,1.63,Seattle SuperSonics (0-4)
1996-97,Houston Rockets,The Summit,57,0.695,0.6,R. Tomjanovich,C. Barkley (9.4),#CE1141,#C4CED4,3.85,Utah Jazz (2-4)
1997-98,Houston Rockets,The Summit,41,0.5,0.2,R. Tomjanovich,C. Barkley (8.6),#CE1141,#C4CED4,-1.23,Utah Jazz (2-3)
1998-99,Houston Rockets,Compaq Center,31,0.62,0.2,R. Tomjanovich,C. Barkley (6.8),#CE1141,#C4CED4,1.39,Los Angeles Lakers (1-3)
1999-00,Houston Rockets,Compaq Center,34,0.415,0,R. Tomjanovich,S. Francis (6.4),#CE1141,#C4CED4,-0.57,
2000-01,Houston Rockets,Compaq Center,45,0.549,0,R. Tomjanovich,S. Francis (12.2),#CE1141,#C4CED4,2.71,
2001-02,Houston Rockets,Compaq Center,28,0.341,0,R. Tomjanovich,C. Mobley (5.7),#CE1141,#C4CED4,-4.31,
2002-03,Houston Rockets,Compaq Center,43,0.524,0,R. Tomjanovich,S. Francis (11.1),#CE1141,#C4CED4,1.89,
2003-04,Houston Rockets,Toyota Center,45,0.549,0.2,J. Van Gundy,Y. Ming (11.4),#CE1141,#C4CED4,2.28,Los Angeles Lakers (1-4)
2004-05,Houston Rockets,Toyota Center,51,0.622,0.2,J. Van Gundy,T. McGrady (12.0),#CE1141,#C4CED4,4.27,Dallas Mavericks (3-4)
2005-06,Houston Rockets,Toyota Center,34,0.415,0,J. Van Gundy,Y. Ming (8.6),#CE1141,#C4CED4,-1.3,
2006-07,Houston Rockets,Toyota Center,52,0.634,0.2,J. Van Gundy,S. Battier (9.0),#CE1141,#C4CED4,5.04,Utah Jazz (3-4)
2007-08,Houston Rockets,Toyota Center,55,0.671,0.2,R. Adelman,Y. Ming (8.3),#CE1141,#C4CED4,4.83,Utah Jazz (2-4)
2008-09,Houston Rockets,Toyota Center,53,0.646,0.4,R. Adelman,Y. Ming (10.6),#CE1141,#C4CED4,3.73,Los Angeles Lakers (3-4)
