season,team,arena,wins,winpercent,playoffs,coach,topWS,color1,color2,srs,logo,opponent1,opponent2,opponent3,opponent4
1975-76,Kansas City Kings,Kemper Arena,31,0.378,0,P. Johnson,T. Archibald (8.0),#CC382C,#233E92,-2.83,teams/SAC/logos/1976-1985.png,,,,
1976-77,Kansas City Kings,Kemper Arena,40,0.488,0,P. Johnson,R. Boone (8.1),#CC382C,#233E92,0.93,teams/SAC/logos/1976-1985.png,,,,
1977-78,Kansas City Kings,Kemper Arena,31,0.378,0,P. Johnson/L. Staverman,S. Wedman (7.8),#CC382C,#233E92,-1.76,teams/SAC/logos/1976-1985.png,,,,
1978-79,Kansas City Kings,Kemper Arena,48,0.585,0.4,C. Fitzsimmons,O. Birdsong (8.8),#CC382C,#233E92,2.73,teams/SAC/logos/1976-1985.png,First Round Bye,Lost Conference Semifinals versus <span>Phoenix Suns (1-4)</span>,,
1979-80,Kansas City Kings,Kemper Arena,47,0.573,0.2,C. Fitzsimmons,O. Birdsong (8.6),#CC382C,#233E92,2.82,teams/SAC/logos/1976-1985.png,Lost First Round versus <span>Phoenix Suns (1-2)</span>,,,
1980-81,Kansas City Kings,Kemper Arena,40,0.488,0.6,C. Fitzsimmons,R. King (8.3),#CC382C,#233E92,-0.49,teams/SAC/logos/1976-1985.png,Won First Round versus <span>Portland Trail Blazers (2-1)</span>,Won Conference Semifinals versus <span>Phoenix Suns (4-3)</span>,Lost Conference Finals versus <span>Houston Rockets (1-4)</span>,
1981-82,Kansas City Kings,Kemper Arena,30,0.366,0,C. Fitzsimmons,M. Woodson (5.3),#CC382C,#233E92,-3.25,teams/SAC/logos/1976-1985.png,,,,
1982-83,Kansas City Kings,Kemper Arena,45,0.549,0,C. Fitzsimmons,M. Woodson (7.8),#CC382C,#233E92,1.04,teams/SAC/logos/1976-1985.png,,,,
1983-84,Kansas City Kings,Kemper Arena,38,0.463,0.2,C. Fitzsimmons,E. Johnson (5.6),#CC382C,#233E92,-1.62,teams/SAC/logos/1976-1985.png,Lost First Round versus <span>Los Angeles Lakers (0-3)</span>,,,
1984-85,Kansas City Kings,Kemper Arena,31,0.378,0,J. McKinney/P. Johnson,L. Thompson (5.3),#CC382C,#233E92,-2.71,teams/SAC/logos/1976-1985.png,,,,
1985-86,Sacramento Kings,ARCO Arena,37,0.451,0.2,P. Johnson,R. Theus (6.4),#CC382C,#233E92,-3.19,teams/SAC/logos/1986-1994.png,Lost First Round versus <span>Houston Rockets (0-3)</span>,,,
1986-87,Sacramento Kings,ARCO Arena,29,0.354,0,P. Johnson/J. Reynolds,O. Thorpe (9.0),#CC382C,#233E92,-3.34,teams/SAC/logos/1986-1994.png,,,,
