season,team,arena,wins,winpercent,playoffs,coach,topWS,color1,color2,srs,opponent1,opponent2,opponent3,opponent4
1991-92,New Jersey Nets,Brendan Byrne Arena,40,0.488,0.2,B. Fitch,D. Petrovic (7.7),#002A60,#CD1041,-1.54,Lost First Round versus <span>Cleveland Cavaliers (1-3)</span>,,,
1992-93,New Jersey Nets,Brendan Byrne Arena,43,0.524,0.2,C. Daly,D. Coleman (9.5),#002A60,#CD1041,1.2,Lost First Round versus <span>Cleveland Cavaliers (2-3)</span>,,,
1993-94,New Jersey Nets,Brendan Byrne Arena,45,0.549,0.2,C. Daly,D. Coleman (9.9),#002A60,#CD1041,2.11,Lost First Round versus <span>New York Knicks (1-3)</span>,,,
1994-95,New Jersey Nets,Brendan Byrne Arena,30,0.366,0,B. Beard,K. Anderson (6.8),#002A60,#CD1041,-3.28,,,,
1995-96,New Jersey Nets,Brendan Byrne Arena,30,0.366,0,B. Beard,A. Gilliam (6.7),#002A60,#CD1041,-4.14,,,,
1996-97,New Jersey Nets,Continental Airlines Arena,26,0.317,0,J. Calipari,K. Gill (8.8),#002A60,#CD1041,-3.89,,,,
1997-98,New Jersey Nets,Continental Airlines Arena,43,0.524,0.2,J. Calipari,K. Kittles (8.4),#002A60,#CD1041,1.88,Lost First Round versus <span>Chicago Bulls (0-3)</span>,,,
1998-99,New Jersey Nets,Continental Airlines Arena,16,0.32,0,J. Calipari/D. Casey,S. Marbury (4.0),#002A60,#CD1041,-3.2,,,,
1999-00,New Jersey Nets,Continental Airlines Arena,31,0.378,0,D. Casey,S. Marbury (7.4),#002A60,#CD1041,-1.18,,,,
2000-01,New Jersey Nets,Continental Airlines Arena,26,0.317,0,B. Scott,S. Marbury (7.8),#002A60,#CD1041,-5.3,,,,
2001-02,New Jersey Nets,Continental Airlines Arena,52,0.634,0.8,B. Scott,J. Kidd (8.9),#002A60,#CD1041,3.67,Won First Round versus <span>Indiana Pacers (3-2)</span>,Won Conference Semifinals versus <span>Charlotte Hornets (4-1)</span>,Won Conference Finals versus <span>Boston Celtics (4-2)</span>,Lost Finals versus <span>Los Angeles Lakers (0-4)</span>
2002-03,New Jersey Nets,Continental Airlines Arena,49,0.598,0.8,B. Scott,J. Kidd (11.3),#002A60,#CD1041,4.42,Won First Round versus <span>Milwaukee Bucks (4-2)</span>,Won Conference Semifinals versus <span>Boston Celtics (4-0)</span>,Won Conference Finals versus <span>Detroit Pistons (4-0)</span>,Lost Finals versus <span>San Antonio Spurs (2-4)</span>
2003-04,New Jersey Nets,Continental Airlines Arena,47,0.573,0.4,B. Scott/L. Frank,R. Jefferson (11.0),#002A60,#CD1041,1.88,Won First Round versus <span>New York Knicks (4-0)</span>,Lost Conference Semifinals versus <span>Detroit Pistons (3-4)</span>,,
2004-05,New Jersey Nets,Continental Airlines Arena,42,0.512,0.2,L. Frank,V. Carter (8.5),#002A60,#CD1041,-1.82,Lost First Round versus <span>Miami Heat (0-4)</span>,,,
2005-06,New Jersey Nets,Continental Airlines Arena,49,0.598,0.4,L. Frank,R. Jefferson (11.7),#002A60,#CD1041,1.11,Won First Round versus <span>Indiana Pacers (4-2)</span>,Lost Conference Semifinals versus <span>Miami Heat (1-4)</span>,,
2006-07,New Jersey Nets,Continental Airlines Arena,41,0.5,0.4,L. Frank,V. Carter (10.5),#002A60,#CD1041,-1,Won First Round versus <span>Toronto Raptors (4-2)</span>,Lost Conference Semifinals versus <span>Cleveland Cavaliers (2-4)</span>,,
2007-08,New Jersey Nets,Izod Center,34,0.415,0,L. Frank,V. Carter (7.7),#002A60,#CD1041,-5.15,,,,
2008-09,New Jersey Nets,Izod Center,34,0.415,0,L. Frank,V. Carter (7.5),#002A60,#CD1041,-2.31,,,,
