season,team,arena,wins,winpercent,playoffs,coach,topWS,color1,color2,srs,opponent
2008-09,Chicago Bulls,United Center,41,0.5,0.2,V. Del Negro,B. Gordon (6.9),#CE1141,#000000,-0.16,Boston Celtics (3-4)
2009-10,Chicago Bulls,United Center,41,0.5,0.2,V. Del Negro,J. Noah (6.2),#CE1141,#000000,-1.64,Cleveland Cavaliers (1-4)
2010-11,Chicago Bulls,United Center,62,0.756,0.6,T. Thibodeau,D. Rose (13.1),#CE1141,#000000,6.53,Miami Heat (1-4)
2011-12,Chicago Bulls,United Center,50,0.758,0.2,T. Thibodeau,J. Noah (9.0),#CE1141,#000000,7.43,Philadelphia 76ers (2-4)
2012-13,Chicago Bulls,United Center,45,0.549,0.4,T. Thibodeau,J. Noah (7.3),#CE1141,#000000,-0.02,Miami Heat (1-4)
2013-14,Chicago Bulls,United Center,48,0.585,0.2,T. Thibodeau,J. Noah (11.2),#CE1141,#000000,1.2,Washington Wizards (1-4)
2014-15,Chicago Bulls,United Center,50,0.61,0.4,T. Thibodeau,J. Butler (11.2),#CE1141,#000000,2.54,Cleveland Cavaliers (2-4)
2015-16,Chicago Bulls,United Center,42,0.512,0,F. Hoiberg,J. Butler (9.1),#CE1141,#000000,-1.46,
2016-17,Chicago Bulls,United Center,41,0.5,0.2,F. Hoiberg,J. Butler (13.8),#CE1141,#000000,0.03,Boston Celtics (2-4)
2017-18,Chicago Bulls,United Center,27,0.329,0,F. Hoiberg,B. Portis (3.5),#CE1141,#000000,-6.84,
2018-19,Chicago Bulls,United Center,22,0.268,0,F. Hoiberg/J. Boylen,R. Arcidiacono (3.7),#CE1141,#000000,-8.32,
