season,team,arena,wins,winpercent,playoffs,coach,topWS,color1,color2,srs,opponent
2007-08,Phoenix Suns,US Airways Center,55,0.671,0.2,M. D'Antoni,A. Stoudemire (14.6),#E56020,#1D1160,5.14,San Antonio Spurs
2008-09,Phoenix Suns,US Airways Center,46,0.561,0,T. Porter/A. Gentry,S. O'Neal (7.8),#E56020,#1D1160,1.62,
2009-10,Phoenix Suns,US Airways Center,54,0.659,0.6,A. Gentry,A. Stoudemire (10.7),#E56020,#1D1160,4.67,Los Angeles Lakers
2010-11,Phoenix Suns,US Airways Center,40,0.488,0,A. Gentry,S. Nash (7.9),#E56020,#1D1160,-0.46,
2011-12,Phoenix Suns,US Airways Center,33,0.5,0,A. Gentry,M. Gortat (7.6),#E56020,#1D1160,0.29,
2012-13,Phoenix Suns,US Airways Center,25,0.305,0,A. Gentry/L. Hunter,G. Dragic (5.7),#E56020,#1D1160,-5.75,
2013-14,Phoenix Suns,US Airways Center,48,0.585,0,J. Hornacek,G. Dragic (10.3),#E56020,#1D1160,3.02,
2014-15,Phoenix Suns,US Airways Center,39,0.476,0,J. Hornacek,E. Bledsoe (7.0),#E56020,#1D1160,-0.38,
2015-16,Phoenix Suns,Talking Stick Resort Arena,23,0.28,0,J. Hornacek/E. Watson,M. Teletovic (3.8),#E56020,#1D1160,-6.32,
2016-17,Phoenix Suns,Talking Stick Resort Arena,24,0.293,0,E. Watson,E. Bledsoe (5.4),#E56020,#1D1160,-5.14,
2017-18,Phoenix Suns,Talking Stick Resort Arena,21,0.256,0,E. Watson/J. Triano,A. Len (4.5),#E56020,#1D1160,-8.8,
