season,team,arena,wins,winpercent,playoffs,coach,topWS,color1,color2,srs,opponent
1987-88,Philadelphia 76ers,The Spectrum,36,0.439,0,M. Guokas/J. Lynam,C. Barkley (16.7),#006BB6,#ED174C,-0.79,
1988-89,Philadelphia 76ers,The Spectrum,46,0.561,0.2,J. Lynam,C. Barkley (16.1),#006BB6,#ED174C,1.68,New York Knicks (0-3)
1989-90,Philadelphia 76ers,The Spectrum,53,0.646,0.4,J. Lynam,C. Barkley (17.3),#006BB6,#ED174C,4.23,Chicago Bulls (1-4)
1990-91,Philadelphia 76ers,The Spectrum,44,0.537,0.4,J. Lynam,C. Barkley (13.4),#006BB6,#ED174C,-0.39,Chicago Bulls (1-4)
1991-92,Philadelphia 76ers,The Spectrum,35,0.427,0,J. Lynam,C. Barkley (12.3),#006BB6,#ED174C,-1.34,
1992-93,Philadelphia 76ers,The Spectrum,26,0.317,0,D. Moe/F. Carter,H. Hawkins (8.5),#006BB6,#ED174C,-5.25,
1993-94,Philadelphia 76ers,The Spectrum,25,0.305,0,F. Carter,C. Weatherspoon (6.0),#006BB6,#ED174C,-7.37,
1994-95,Philadelphia 76ers,CoreStates Spectrum,24,0.293,0,J. Lucas,D. Barros (12.7),#006BB6,#ED174C,-5.06,
1995-96,Philadelphia 76ers,CoreStates Spectrum,18,0.22,0,J. Lucas,C. Weatherspoon (5.8),#006BB6,#ED174C,-9.45,
1996-97,Philadelphia 76ers,CoreStates Spectrum,22,0.268,0,J. Davis,C. Weatherspoon (5.0),#006BB6,#ED174C,-5.89,
1997-98,Philadelphia 76ers,CoreStates Spectrum,31,0.378,0,L. Brown,A. Iverson (9.0),#006BB6,#ED174C,-1.89,
1998-99,Philadelphia 76ers,First Union Center,28,0.56,0.4,L. Brown,A. Iverson (7.2),#006BB6,#ED174C,2.56,Indiana Pacers (0-4)
1999-00,Philadelphia 76ers,First Union Center,49,0.598,0.4,L. Brown,A. Iverson (6.9),#006BB6,#ED174C,1.02,Indiana Pacers (2-4)
2000-01,Philadelphia 76ers,First Union Center,56,0.683,0.8,L. Brown,A. Iverson (11.8),#006BB6,#ED174C,3.64,Los Angeles Lakers (1-4)
2001-02,Philadelphia 76ers,First Union Center,43,0.524,0.2,L. Brown,D. Mutombo (9.6),#006BB6,#ED174C,1.27,Boston Celtics (2-3)
2002-03,Philadelphia 76ers,First Union Center,48,0.585,0.4,L. Brown,A. Iverson (9.2),#006BB6,#ED174C,1.76,Detroit Pistons (2-4)
2003-04,Philadelphia 76ers,Wachovia Center,33,0.402,0,R. Ayers/C. Ford,S. Dalembert (6.9),#006BB6,#ED174C,-2.95,
2004-05,Philadelphia 76ers,Wachovia Center,43,0.524,0.2,J. O'Brien,A. Iverson (9.0),#006BB6,#ED174C,-1.07,Detroit Pistons (1-4)
