season,team,arena,wins,winpercent,playoffs,coach,topWS,color1,color2
2007-08,Los Angeles Clippers,STAPLES Center,23,0.28,0,M. Dunleavy,C. Maggette (6.9),#ED174C,#006BB6
2008-09,Los Angeles Clippers,STAPLES Center,19,0.232,0,M. Dunleavy,M. Camby (5.2),#ED174C,#006BB6
2009-10,Los Angeles Clippers,STAPLES Center,29,0.354,0,M. Dunleavy/K. Hughes,M. Camby (4.6),#ED174C,#006BB6
2010-11,Los Angeles Clippers,STAPLES Center,32,0.39,0,V. Del Negro,B. Griffin (9.8),#ED174C,#006BB6
2011-12,Los Angeles Clippers,STAPLES Center,40,0.606,0.4,V. Del Negro,C. Paul (12.7),#ED174C,#006BB6
2012-13,Los Angeles Clippers,STAPLES Center,56,0.683,0.2,V. Del Negro,C. Paul (13.9),#ED174C,#006BB6
2013-14,Los Angeles Clippers,STAPLES Center,57,0.695,0.4,D. Rivers,B. Griffin (12.2),#ED174C,#006BB6
2014-15,Los Angeles Clippers,STAPLES Center,56,0.683,0.4,D. Rivers,C. Paul (16.1),#ED174C,#006BB6
2015-16,Los Angeles Clippers,STAPLES Center,53,0.646,0.2,D. Rivers,C. Paul (12.7),#ED174C,#006BB6
2016-17,Los Angeles Clippers,STAPLES Center,51,0.622,0.2,D. Rivers,D. Jordan (11.8),#ED174C,#006BB6
