season,team,arena,wins,winpercent,playoffs,coach,topWS,color1,color2,srs,opponent
2000-01,San Antonio Spurs,Alamodome,58,0.707,0.6,G. Popovich,T. Duncan (13.2),#C4CED4,#000000,7.92,Los Angeles Lakers (0-4)
2001-02,San Antonio Spurs,Alamodome,58,0.707,0.4,G. Popovich,T. Duncan (17.8),#C4CED4,#000000,6.28,Los Angeles Lakers (1-4)
2002-03,San Antonio Spurs,SBC Center,60,0.732,1,G. Popovich,T. Duncan (16.5),#C4CED4,#000000,5.65,New Jersey Nets (4-2)
2003-04,San Antonio Spurs,SBC Center,57,0.695,0.4,G. Popovich,T. Duncan (13.1),#C4CED4,#000000,7.51,Los Angeles Lakers (2-4)
2004-05,San Antonio Spurs,SBC Center,59,0.72,1,G. Popovich,T. Duncan (11.2),#C4CED4,#000000,7.84,Detroit Pistons (4-3)
2005-06,San Antonio Spurs,SBC Center,63,0.768,0.4,G. Popovich,T. Duncan (10.8),#C4CED4,#000000,6.69,Dallas Mavericks (3-4)
2006-07,San Antonio Spurs,AT&T Center,58,0.707,1,G. Popovich,T. Duncan (13.0),#C4CED4,#000000,8.35,Cleveland Cavaliers (4-0)
2007-08,San Antonio Spurs,AT&T Center,56,0.683,0.6,G. Popovich,M. Ginobili (11.1),#C4CED4,#000000,5.1,Los Angeles Lakers (1-4)
2008-09,San Antonio Spurs,AT&T Center,54,0.659,0.2,G. Popovich,T. Duncan (10.1),#C4CED4,#000000,3.36,Dallas Mavericks (1-4)
2009-10,San Antonio Spurs,AT&T Center,50,0.61,0.4,G. Popovich,T. Duncan (10.9),#C4CED4,#000000,5.07,Phoenix Suns (0-4)
2010-11,San Antonio Spurs,AT&T Center,61,0.744,0.2,G. Popovich,M. Ginobili (9.9),#C4CED4,#000000,5.86,Memphis Grizzlies (2-4)
2011-12,San Antonio Spurs,AT&T Center,50,0.758,0.6,G. Popovich,T. Parker (7.1),#C4CED4,#000000,7.28,Oklahoma City Thunder (2-4)
2012-13,San Antonio Spurs,AT&T Center,58,0.707,0.8,G. Popovich,T. Parker (9.3),#C4CED4,#000000,6.67,Miami Heat (3-4)
2013-14,San Antonio Spurs,AT&T Center,62,0.756,1,G. Popovich,K. Leonard (7.7),#C4CED4,#000000,8,Miami Heat (4-1)
2014-15,San Antonio Spurs,AT&T Center,55,0.671,0.2,G. Popovich,T. Duncan (9.6),#C4CED4,#000000,6.34,Los Angeles Clippers (3-4)
2015-16,San Antonio Spurs,AT&T Center,67,0.817,0.4,G. Popovich,K. Leonard (13.7),#C4CED4,#000000,10.28,Oklahoma City Thunder (2-4)
2016-17,San Antonio Spurs,AT&T Center,61,0.744,0.6,G. Popovich,K. Leonard (13.6),#C4CED4,#000000,7.13,Golden State Warriors (0-4)
2017-18,San Antonio Spurs,AT&T Center,47,0.573,0.2,G. Popovich,L. Aldridge (10.9),#C4CED4,#000000,2.89,Golden State Warriors (1-4)
