season,team,arena,wins,winpercent,playoffs,coach,topWS,color1,color2,srs,logo,opponent1,opponent2,opponent3,opponent4
1946-47,New York Knicks,Madison Square Garden,33,0.55,0.6,N. Cohalan,O. Schectman (4.3),#006BB6,#F58426,0.58,teams/NYK/logos/1946-1964.png,Won Quarterfinals versus <span>Cleveland Rebels (2-1)</span>,Lost Semifinals versus <span>Philadelphia Warriors (0-2)</span>,,
1947-48,New York Knicks,Madison Square Garden,26,0.542,0.4,J. Lapchick,B. Palmer (7.4),#006BB6,#F58426,2.3,teams/NYK/logos/1946-1964.png,Lost Quarterfinals versus <span>Baltimore Bullets (1-2)</span>,,,
1948-49,New York Knicks,Madison Square Garden,32,0.533,0.6,J. Lapchick,B. Palmer (7.2),#006BB6,#F58426,1.24,teams/NYK/logos/1946-1964.png,Won Division Semifinals versus <span>Baltimore Bullets (2-1)</span>,Lost Division Finals versus <span>Washington Capitols (1-2)</span>,,
1949-50,New York Knicks,Madison Square Garden,40,0.588,0.6,J. Lapchick,H. Gallatin (7.8),#006BB6,#F58426,2.53,teams/NYK/logos/1946-1964.png,Won Division Semifinals versus <span>Washington Capitols (2-0)</span>,Lost Division Finals versus <span>Syracuse Nationals (1-2)</span>,,
1950-51,New York Knicks,Madison Square Garden,36,0.545,0.8,J. Lapchick,H. Gallatin (7.6),#006BB6,#F58426,0.49,teams/NYK/logos/1946-1964.png,Won Division Semifinals versus <span>Boston Celtics (2-0)</span>,Won Division Finals versus <span>Syracuse Nationals (3-2)</span>,Lost Finals versus <span>Rochester Royals (3-4)</span>,
1951-52,New York Knicks,Madison Square Garden,37,0.561,0.8,J. Lapchick,H. Gallatin (8.9),#006BB6,#F58426,0.67,teams/NYK/logos/1946-1964.png,Won Division Semifinals versus <span>Boston Celtics (2-1)</span>,Won Division Finals versus <span>Syracuse Nationals (3-1)</span>,Lost Finals versus <span>Minneapolis Lakers (3-4)</span>,
1952-53,New York Knicks,Madison Square Garden,47,0.671,0.8,J. Lapchick,H. Gallatin (11.3),#006BB6,#F58426,4.39,teams/NYK/logos/1946-1964.png,Won Division Semifinals versus <span>Baltimore Bullets (2-0)</span>,Won Division Finals versus <span>Boston Celtics (3-1)</span>,Lost Finals versus <span>Minneapolis Lakers (1-4)</span>,
1953-54,New York Knicks,Madison Square Garden,44,0.611,0.4,J. Lapchick,H. Gallatin (11.8),#006BB6,#F58426,-0.16,teams/NYK/logos/1946-1964.png,Eliminated in Division Round Robin,,,
1954-55,New York Knicks,Madison Square Garden,38,0.528,0.4,J. Lapchick,H. Gallatin (8.3),#006BB6,#F58426,0.11,teams/NYK/logos/1946-1964.png,Lost Division Semifinals versus <span>Boston Celtics (1-2)</span>,,,
1955-56,New York Knicks,Madison Square Garden,35,0.486,0,J. Lapchick/V. Boryla,K. Sears (6.2),#006BB6,#F58426,-0.2,teams/NYK/logos/1946-1964.png,,,,
1956-57,New York Knicks,Madison Square Garden,36,0.5,0,V. Boryla,H. Gallatin (8.1),#006BB6,#F58426,0.07,teams/NYK/logos/1946-1964.png,,,,
1957-58,New York Knicks,Madison Square Garden,35,0.486,0,V. Boryla,K. Sears (10.0),#006BB6,#F58426,1.35,teams/NYK/logos/1946-1964.png,,,,
1958-59,New York Knicks,Madison Square Garden,40,0.556,0.4,A. Levane,K. Sears (13.3),#006BB6,#F58426,0.49,teams/NYK/logos/1946-1964.png,Lost Division Semifinals versus <span>Syracuse Nationals (0-2)</span>,,,
1959-60,New York Knicks,Madison Square Garden,27,0.36,0,A. Levane/C. Braun,K. Sears (8.8),#006BB6,#F58426,-1.43,teams/NYK/logos/1946-1964.png,,,,
1960-61,New York Knicks,Madison Square Garden,21,0.266,0,C. Braun,W. Naulls (5.7),#006BB6,#F58426,-5.43,teams/NYK/logos/1946-1964.png,,,,
1961-62,New York Knicks,Madison Square Garden,29,0.363,0,E. Donovan,R. Guerin (12.1),#006BB6,#F58426,-3.98,teams/NYK/logos/1946-1964.png,,,,
1962-63,New York Knicks,Madison Square Garden,21,0.263,0,E. Donovan,R. Guerin (7.2),#006BB6,#F58426,-6.2,teams/NYK/logos/1946-1964.png,,,,
1963-64,New York Knicks,Madison Square Garden,22,0.275,0,E. Donovan,B. McGill (4.5),#006BB6,#F58426,-5.91,teams/NYK/logos/1946-1964.png,,,,
1964-65,New York Knicks,Madison Square Garden,31,0.388,0,E. Donovan/H. Gallatin,W. Reed (5.5),#006BB6,#F58426,-3.26,teams/NYK/logos/1965-1979.png,,,,
1965-66,New York Knicks,Madison Square Garden,30,0.375,0,H. Gallatin/D. McGuire,W. Bellamy (8.9),#006BB6,#F58426,-2.31,teams/NYK/logos/1965-1979.png,,,,
1966-67,New York Knicks,Madison Square Garden,36,0.444,0.4,D. McGuire,W. Bellamy (8.8),#006BB6,#F58426,-2.74,teams/NYK/logos/1965-1979.png,Lost Division Semifinals versus <span>Boston Celtics (1-3)</span>,,,
1967-68,New York Knicks,Madison Square Garden,43,0.524,0.4,D. McGuire/R. Holzman,W. Bellamy (11.1),#006BB6,#F58426,1.78,teams/NYK/logos/1965-1979.png,Lost Division Semifinals versus <span>Philadelphia 76ers (2-4)</span>,,,
1968-69,New York Knicks,Madison Square Garden,54,0.659,0.6,R. Holzman,W. Reed (14.7),#006BB6,#F58426,5.48,teams/NYK/logos/1965-1979.png,Won Division Semifinals versus <span>Baltimore Bullets (4-0)</span>,Lost Division Finals versus <span>Boston Celtics (2-4)</span>,,
1969-70,New York Knicks,Madison Square Garden,60,0.732,1,R. Holzman,W. Frazier (15.0),#006BB6,#F58426,8.42,teams/NYK/logos/1965-1979.png,Won Division Semifinals versus <span>Baltimore Bullets (4-3)</span>,Won Division Finals versus <span>Milwaukee Bucks (4-1)</span>,Won Finals versus <span>Los Angeles Lakers (4-3)</span>,
1970-71,New York Knicks,Madison Square Garden,52,0.634,0.6,R. Holzman,W. Frazier (15.6),#006BB6,#F58426,5.05,teams/NYK/logos/1965-1979.png,Won Conference Semifinals versus <span>Atlanta Hawks (4-1)</span>,Lost Conference Finals versus <span>Baltimore Bullets (3-4)</span>,,
1971-72,New York Knicks,Madison Square Garden,48,0.585,0.8,R. Holzman,W. Frazier (14.5),#006BB6,#F58426,2.28,teams/NYK/logos/1965-1979.png,Won Conference Semifinals versus <span>Baltimore Bullets (4-2)</span>,Won Conference Finals versus <span>Boston Celtics (4-1)</span>,Lost Finals versus <span>Los Angeles Lakers (1-4)</span>,
1972-73,New York Knicks,Madison Square Garden,57,0.695,1,R. Holzman,W. Frazier (13.0),#006BB6,#F58426,6.07,teams/NYK/logos/1965-1979.png,Won Conference Semifinals versus <span>Baltimore Bullets (4-1)</span>,Won Conference Finals versus <span>Boston Celtics (4-3)</span>,Won Finals versus <span>Los Angeles Lakers (4-1)</span>,
1973-74,New York Knicks,Madison Square Garden,49,0.598,0.6,R. Holzman,W. Frazier (10.9),#006BB6,#F58426,2.42,teams/NYK/logos/1965-1979.png,Won Conference Semifinals versus <span>Capital Bullets (4-3)</span>,Lost Conference Finals versus <span>Boston Celtics (1-4)</span>,,
1974-75,New York Knicks,Madison Square Garden,40,0.488,0.2,R. Holzman,W. Frazier (10.8),#006BB6,#F58426,-0.92,teams/NYK/logos/1965-1979.png,Lost First Round versus <span>Houston Rockets (1-2)</span>,,,
1975-76,New York Knicks,Madison Square Garden,38,0.463,0,R. Holzman,E. Monroe (7.2),#006BB6,#F58426,-1.05,teams/NYK/logos/1965-1979.png,,,,
1976-77,New York Knicks,Madison Square Garden,40,0.488,0,R. Holzman,B. McAdoo (7.9),#006BB6,#F58426,0.01,teams/NYK/logos/1965-1979.png,,,,
1977-78,New York Knicks,Madison Square Garden,43,0.524,0.4,W. Reed,B. McAdoo (10.9),#006BB6,#F58426,-0.53,teams/NYK/logos/1965-1979.png,Won First Round versus <span>Cleveland Cavaliers (2-0)</span>,Lost Conference Semifinals versus <span>Philadelphia 76ers (0-4)</span>,,
1978-79,New York Knicks,Madison Square Garden,31,0.378,0,W. Reed/R. Holzman,T. Knight (5.7),#006BB6,#F58426,-3.29,teams/NYK/logos/1965-1979.png,,,,
1979-80,New York Knicks,Madison Square Garden,39,0.476,0,R. Holzman,B. Cartwright (9.7),#006BB6,#F58426,-0.96,teams/NYK/logos/1980-1983.png,,,,
1980-81,New York Knicks,Madison Square Garden,50,0.61,0.2,R. Holzman,B. Cartwright (10.0),#006BB6,#F58426,2,teams/NYK/logos/1980-1983.png,Lost First Round versus <span>Chicago Bulls (0-2)</span>,,,
1981-82,New York Knicks,Madison Square Garden,33,0.402,0,R. Holzman,M. Lucas (7.4),#006BB6,#F58426,-2.15,teams/NYK/logos/1980-1983.png,,,,
1982-83,New York Knicks,Madison Square Garden,44,0.537,0.4,H. Brown,B. Cartwright (10.1),#006BB6,#F58426,2.58,teams/NYK/logos/1980-1983.png,Won First Round versus <span>New Jersey Nets (2-0)</span>,Lost Conference Semifinals versus <span>Philadelphia 76ers (0-4)</span>,,
1983-84,New York Knicks,Madison Square Garden,47,0.573,0.4,H. Brown,B. King (12.1),#006BB6,#F58426,3.79,teams/NYK/logos/1984-1989.png,Won First Round versus <span>Detroit Pistons (3-2)</span>,Lost Conference Semifinals versus <span>Boston Celtics (3-4)</span>,,
1984-85,New York Knicks,Madison Square Garden,24,0.293,0,H. Brown,B. King (7.1),#006BB6,#F58426,-4.09,teams/NYK/logos/1984-1989.png,,,,
1985-86,New York Knicks,Madison Square Garden,23,0.28,0,H. Brown,T. Tucker (4.0),#006BB6,#F58426,-4.82,teams/NYK/logos/1984-1989.png,,,,
1986-87,New York Knicks,Madison Square Garden,24,0.293,0,H. Brown/B. Hill,B. Cartwright (5.8),#006BB6,#F58426,-5.42,teams/NYK/logos/1984-1989.png,,,,
1987-88,New York Knicks,Madison Square Garden,38,0.463,0.2,R. Pitino,P. Ewing (8.1),#006BB6,#F58426,0.14,teams/NYK/logos/1984-1989.png,Lost First Round versus <span>Boston Celtics (1-3)</span>,,,
1988-89,New York Knicks,Madison Square Garden,52,0.634,0.4,R. Pitino,P. Ewing (10.9),#006BB6,#F58426,3.62,teams/NYK/logos/1984-1989.png,Won First Round versus <span>Philadelphia 76ers (3-0)</span>,Lost Conference Semifinals versus <span>Chicago Bulls (2-4)</span>,,
