season,team,arena,wins,winpercent,playoffs,coach,topWS,color1,color2,srs,logo,opponent1,opponent2,opponent3,opponent4
2007-08,Dallas Mavericks,American Airlines Center,51,0.622,0.2,A. Johnson,D. Nowitzki (12.9),#0053BC,#00285E,4.7,teams/DAL/logos/2002-2017.png,Lost First Round versus <span>New Orleans Hornets (1-4)</span>,,,
2008-09,Dallas Mavericks,American Airlines Center,50,0.61,0.4,R. Carlisle,D. Nowitzki (10.9),#0053BC,#00285E,1.68,teams/DAL/logos/2002-2017.png,Won First Round versus <span>San Antonio Spurs (4-1)</span>,Lost Conference Semifinals versus <span>Denver Nuggets (1-4)</span>,,
2009-10,Dallas Mavericks,American Airlines Center,55,0.671,0.2,R. Carlisle,D. Nowitzki (12.3),#0053BC,#00285E,2.66,teams/DAL/logos/2002-2017.png,Lost First Round versus <span>San Antonio Spurs (2-4)</span>,,,
2010-11,Dallas Mavericks,American Airlines Center,57,0.695,1,R. Carlisle,D. Nowitzki (11.1),#0053BC,#00285E,4.41,teams/DAL/logos/2002-2017.png,Won First Round versus <span>Portland Trail Blazers (4-2)</span>,Won Conference Semifinals versus <span>Los Angeles Lakers (4-0)</span>,Won Conference Finals versus <span>Oklahoma City Thunder (4-1)</span>,Won Finals versus <span>Miami Heat (4-2)</span>
2011-12,Dallas Mavericks,American Airlines Center,36,0.545,0.2,R. Carlisle,D. Nowitzki (7.6),#0053BC,#00285E,1.78,teams/DAL/logos/2002-2017.png,Lost First Round versus <span>Oklahoma City Thunder (0-4)</span>,,,
2012-13,Dallas Mavericks,American Airlines Center,41,0.5,0,R. Carlisle,V. Carter (6.0),#0053BC,#00285E,-0.24,teams/DAL/logos/2002-2017.png,,,,
2013-14,Dallas Mavericks,American Airlines Center,49,0.598,0.2,R. Carlisle,D. Nowitzki (10.9),#0053BC,#00285E,2.91,teams/DAL/logos/2002-2017.png,Lost First Round versus <span>San Antonio Spurs (3-4)</span>,,,
2014-15,Dallas Mavericks,American Airlines Center,50,0.61,0.2,R. Carlisle,T. Chandler (10.3),#0053BC,#00285E,3.36,teams/DAL/logos/2002-2017.png,Lost First Round versus <span>Houston Rockets (1-4)</span>,,,
2015-16,Dallas Mavericks,American Airlines Center,42,0.512,0.2,R. Carlisle,D. Nowitzki (6.8),#0053BC,#00285E,-0.02,teams/DAL/logos/2002-2017.png,Lost First Round versus <span>Oklahoma City Thunder (1-4)</span>,,,
2016-17,Dallas Mavericks,American Airlines Center,33,0.402,0,R. Carlisle,S. Curry (4.6),#0053BC,#00285E,-2.53,teams/DAL/logos/2002-2017.png,,,,
2017-18,Dallas Mavericks,American Airlines Center,24,0.293,0,R. Carlisle,D. Powell (6.6),#0053BC,#00285E,-2.7,teams/DAL/logos/2018-present.png,,,,
2018-19,Dallas Mavericks,American Airlines Center,33,0.402,0,R. Carlisle,D. Powell (7.5),#0053BC,#00285E,-0.87,teams/DAL/logos/2018-present.png,,,,
2019-20,Dallas Mavericks,American Airlines Center,43,0.573,0.2,R. Carlisle,L. Doncic (8.8),#0053BC,#00285E,4.87,teams/DAL/logos/2018-present.png,Lost First Round versus <span>Los Angeles Clippers (2-4)</span>,,,
2020-21,Dallas Mavericks,American Airlines Center,42,0.583,0.2,R. Carlisle,L. Doncic (7.7),#0053BC,#00285E,2.26,teams/DAL/logos/2018-present.png,Lost First Round versus <span>Los Angeles Clippers (3-4)</span>,,,
2021-22,Dallas Mavericks,American Airlines Center,52,0.634,0.6,J. Kidd,D. Powell (8.2),#0053BC,#00285E,3.12,teams/DAL/logos/2018-present.png,Won First Round versus <span>Utah Jazz (4-2)</span>,Won Conference Semifinals versus <span>Phoenix Suns (4-3)</span>,Lost Conference Finals versus <span>Golden State Warriors (1-4)</span>,
