season,team,arena,wins,winpercent,playoffs,coach,topWS,color1,color2,srs,logo,opponent1,opponent2,opponent3,opponent4
2003-04,Indiana Pacers,Conseco Fieldhouse,61,0.744,0.6,R. Carlisle,J. O'Neal (9.0),#002D62,#FDBB30,4.93,teams/IND/logos/1991-2005.png,Won First Round versus <span>Boston Celtics (4-0)</span>,Won Conference Semifinals versus <span>Miami Heat (4-2)</span>,Lost Conference Finals versus <span>Detroit Pistons (2-4)</span>,
2004-05,Indiana Pacers,Conseco Fieldhouse,44,0.537,0.4,R. Carlisle,R. Miller (6.6),#002D62,#FDBB30,0.49,teams/IND/logos/1991-2005.png,Won First Round versus <span>Boston Celtics (4-3)</span>,Lost Conference Semifinals versus <span>Detroit Pistons (2-4)</span>,,
2005-06,Indiana Pacers,Conseco Fieldhouse,41,0.5,0.2,R. Carlisle,J. Foster (5.7),#002D62,#FDBB30,1.62,teams/IND/logos/2006-2017.png,Lost First Round versus <span>New Jersey Nets (2-4)</span>,,,
2006-07,Indiana Pacers,Conseco Fieldhouse,35,0.427,0,R. Carlisle,D. Granger (6.5),#002D62,#FDBB30,-2.62,teams/IND/logos/2006-2017.png,,,,
2007-08,Indiana Pacers,Conseco Fieldhouse,36,0.439,0,J. O'Brien,M. Dunleavy (8.5),#002D62,#FDBB30,-1.87,teams/IND/logos/2006-2017.png,,,,
2008-09,Indiana Pacers,Conseco Fieldhouse,36,0.439,0,J. O'Brien,T. Murphy (8.5),#002D62,#FDBB30,-0.76,teams/IND/logos/2006-2017.png,,,,
2009-10,Indiana Pacers,Conseco Fieldhouse,32,0.39,0,J. O'Brien,T. Murphy (7.8),#002D62,#FDBB30,-3.11,teams/IND/logos/2006-2017.png,,,,
2010-11,Indiana Pacers,Conseco Fieldhouse,37,0.451,0.2,J. O'Brien/F. Vogel,D. Granger (6.9),#002D62,#FDBB30,-1.38,teams/IND/logos/2006-2017.png,Lost First Round versus <span>Chicago Bulls (1-4)</span>,,,
2011-12,Indiana Pacers,Bankers Life Fieldhouse,42,0.636,0.4,F. Vogel,D. Granger (6.7),#002D62,#FDBB30,2.6,teams/IND/logos/2006-2017.png,Won First Round versus <span>Orlando Magic (4-1)</span>,Lost Conference Semifinals versus <span>Miami Heat (2-4)</span>,,
2012-13,Indiana Pacers,Bankers Life Fieldhouse,49,0.605,0.6,F. Vogel,G. Hill (9.7),#002D62,#FDBB30,3.34,teams/IND/logos/2006-2017.png,Won First Round versus <span>Atlanta Hawks (4-2)</span>,Won Conference Semifinals versus <span>New York Knicks (4-2)</span>,Lost Conference Finals versus <span>Miami Heat (3-4)</span>,
2013-14,Indiana Pacers,Bankers Life Fieldhouse,56,0.683,0.6,F. Vogel,P. George (10.8),#002D62,#FDBB30,3.63,teams/IND/logos/2006-2017.png,Won First Round versus <span>Atlanta Hawks (4-3)</span>,Won Conference Semifinals versus <span>Washington Wizards (4-2)</span>,Lost Conference Finals versus <span>Miami Heat (2-4)</span>,
2014-15,Indiana Pacers,Bankers Life Fieldhouse,38,0.463,0,F. Vogel,G. Hill (5.4),#002D62,#FDBB30,-0.23,teams/IND/logos/2006-2017.png,,,,
2015-16,Indiana Pacers,Bankers Life Fieldhouse,45,0.549,0.2,F. Vogel,P. George (9.2),#002D62,#FDBB30,1.62,teams/IND/logos/2006-2017.png,Lost First Round versus <span>Toronto Raptors (3-4)</span>,,,
2016-17,Indiana Pacers,Bankers Life Fieldhouse,42,0.512,0.2,N. McMillan,J. Teague (8.1),#002D62,#FDBB30,-0.64,teams/IND/logos/2006-2017.png,Lost First Round versus <span>Cleveland Cavaliers (0-4)</span>,,,
2017-18,Indiana Pacers,Bankers Life Fieldhouse,48,0.585,0.2,N. McMillan,V. Oladipo (8.3),#002D62,#FDBB30,1.18,teams/IND/logos/2018-present.png,Lost First Round versus <span>Cleveland Cavaliers (3-4)</span>,,,
2018-19,Indiana Pacers,Bankers Life Fieldhouse,48,0.585,0.2,N. McMillan,D. Sabonis (7.6),#002D62,#FDBB30,2.76,teams/IND/logos/2018-present.png,Lost First Round versus <span>Boston Celtics (0-4)</span>,,,
2019-20,Indiana Pacers,Bankers Life Fieldhouse,45,0.616,0.2,N. McMillan,D. Sabonis (75),#002D62,#FDBB30,1.63,teams/IND/logos/2018-present.png,Lost First Round versus <span>Miami Heat (0-4)</span>,,,
2020-21,Indiana Pacers,Bankers Life Fieldhouse,34,0.472,0,N. Bjorkgren,D. Sabonis (6.9),#002D62,#FDBB30,0.472,teams/IND/logos/2018-present.png,,,,
