season,team,arena,wins,winpercent,playoffs,coach,topWS,color1,color2,srs,logo,opponent1,opponent2,opponent3,opponent4
1974-75,New Orleans Jazz,Municipal Auditorium,23,0.28,0,S. Robertson/E. Baylor/B. Van Breda Kolff,P. Maravich (3.9),#002B5C,#F9A01B,-7.3,teams/UTA/logos/1975-1979.png,,,,
1975-76,New Orleans Jazz,Louisiana Superdome,38,0.463,0,B. Van Breda Kolff,P. Maravich (7.1),#002B5C,#F9A01B,-0.74,teams/UTA/logos/1975-1979.png,,,,
1976-77,New Orleans Jazz,Louisiana Superdome,35,0.427,0,B. Van Breda Kolff/E. Baylor,P. Maravich (6.4),#002B5C,#F9A01B,-2.68,teams/UTA/logos/1975-1979.png,,,,
1977-78,New Orleans Jazz,Louisiana Superdome,39,0.476,0,E. Baylor,T. Robinson (6.5),#002B5C,#F9A01B,-1.8,teams/UTA/logos/1975-1979.png,,,,
1978-79,New Orleans Jazz,Louisiana Superdome,26,0.317,0,E. Baylor,R. Kelley (8.6),#002B5C,#F9A01B,-5.97,teams/UTA/logos/1975-1979.png,,,,
1979-80,Utah Jazz,Salt Palace,24,0.293,0,T. Nissalke,A. Dantley (10.5),#002B5C,#F9A01B,-5.71,teams/UTA/logos/1980-1996.png,,,,
1980-81,Utah Jazz,Salt Palace,28,0.341,0,T. Nissalke,A. Dantley (13.6),#002B5C,#F9A01B,-5.99,teams/UTA/logos/1980-1996.png,,,,
1981-82,Utah Jazz,Salt Palace,25,0.305,0,T. Nissalke/F. Layden,A. Dantley (12.6),#002B5C,#F9A01B,-5.63,teams/UTA/logos/1980-1996.png,,,,
1982-83,Utah Jazz,Salt Palace,30,0.366,0,F. Layden,R. Green (6.6),#002B5C,#F9A01B,-4.22,teams/UTA/logos/1980-1996.png,,,,
1983-84,Utah Jazz,Salt Palace,45,0.549,0.4,F. Layden,A. Dantley (14.6),#002B5C,#F9A01B,0.81,teams/UTA/logos/1980-1996.png,Won First Round versus <span>Denver Nuggets (3-2)</span>,Lost Conference Semifinals versus <span>Phoenix Suns (2-4)</span>,,
