season,team,arena,wins,winpercent,playoffs,coach,topWS,color1,color2,srs,logo,opponent1,opponent2,opponent3,opponent4
1986-87,Washington Bullets,Capital Centre,42,0.512,0.2,K. Loughery,M. Malone (9.4),#E31837,#002B5C,-1.02,teams/WAS/logos/1975-1987.png,Lost First Round versus <span>Detroit Pistons (0-3)</span>,,,
1987-88,Washington Bullets,Capital Centre,38,0.463,0.2,K. Loughery/W. Unseld,M. Malone (9.2),#E31837,#002B5C,-0.16,teams/WAS/logos/1988-1997.png,Lost First Round versus <span>Detroit Pistons (2-3)</span>,,,
1988-89,Washington Bullets,Capital Centre,40,0.488,0,W. Unseld,J. Williams (6.9),#E31837,#002B5C,-1.77,teams/WAS/logos/1988-1997.png,,,,
1989-90,Washington Bullets,Capital Centre,31,0.378,0,W. Unseld,D. Walker (6.3),#E31837,#002B5C,-2.43,teams/WAS/logos/1988-1997.png,,,,
1990-91,Washington Bullets,Capital Centre,30,0.366,0,W. Unseld,H. Grant (6.7),#E31837,#002B5C,-4.84,teams/WAS/logos/1988-1997.png,,,,
1991-92,Washington Bullets,Capital Centre,25,0.305,0,W. Unseld,P. Ellison (6.9),#E31837,#002B5C,-4.35,teams/WAS/logos/1988-1997.png,,,,
1992-93,Washington Bullets,Capital Centre,22,0.268,0,W. Unseld,H. Grant (5.0),#E31837,#002B5C,-6.49,teams/WAS/logos/1988-1997.png,,,,
1993-94,Washington Bullets,US Airways Arena,24,0.293,0,W. Unseld,D. MacLean (5.6),#E31837,#002B5C,-7.13,teams/WAS/logos/1988-1997.png,,,,
1994-95,Washington Bullets,US Airways Arena,21,0.256,0,J. Lynam,S. Skiles (4.5),#E31837,#002B5C,-5.56,teams/WAS/logos/1988-1997.png,,,,
1995-96,Washington Bullets,US Airways Arena,39,0.476,0,J. Lynam,G. Muresan (8.0),#E31837,#002B5C,0.99,teams/WAS/logos/1988-1997.png,,,,
1996-97,Washington Bullets,US Airways Arena,44,0.537,0.2,J. Lynam/B. Staak/B. Bickerstaff,C. Webber (9.3),#E31837,#002B5C,1.77,teams/WAS/logos/1988-1997.png,Lost First Round versus <span>Chicago Bulls (0-3)</span>,,,
1997-98,Washington Wizards,MCI Center,42,0.512,0,B. Bickerstaff,C. Webber (8.3),#E31837,#002B5C,1.11,teams/WAS/logos/1998-2007.png,,,,
1998-99,Washington Wizards,MCI Center,18,0.36,0,B. Bickerstaff/J. Brovelli,R. Strickland (4.1),#E31837,#002B5C,-1.75,teams/WAS/logos/1998-2007.png,,,,
1999-00,Washington Wizards,MCI Center,29,0.354,0,G. Heard/D. Walker,M. Richmond (5.2),#E31837,#002B5C,-3.47,teams/WAS/logos/1998-2007.png,,,,
2000-01,Washington Wizards,MCI Center,19,0.232,0,L. Hamilton,M. Smith (3.6),#E31837,#002B5C,-6.75,teams/WAS/logos/1998-2007.png,,,,
2001-02,Washington Wizards,MCI Center,37,0.451,0,D. Collins,C. Whitney (6.5),#E31837,#002B5C,-1.58,teams/WAS/logos/1998-2007.png,,,,
2002-03,Washington Wizards,MCI Center,37,0.451,0,D. Collins,C. Laettner (6.6),#E31837,#002B5C,-1.47,teams/WAS/logos/1998-2007.png,,,,
2003-04,Washington Wizards,MCI Center,25,0.305,0,E. Jordan,K. Brown (4.9),#E31837,#002B5C,-6.12,teams/WAS/logos/1998-2007.png,,,,
2004-05,Washington Wizards,MCI Center,45,0.549,0.4,E. Jordan,G. Arenas (11.5),#E31837,#002B5C,-0.71,teams/WAS/logos/1998-2007.png,Won First Round versus <span>Chicago Bulls (4-2)</span>,Lost Conference Semifinals versus <span>Miami Heat (0-4)</span>,,
2005-06,Washington Wizards,MCI Center,42,0.512,0.2,E. Jordan,G. Arenas (13.6),#E31837,#002B5C,1.57,teams/WAS/logos/1998-2007.png,Lost First Round versus <span>Cleveland Cavaliers (2-4)</span>,,,
2006-07,Washington Wizards,Verizon Center,41,0.5,0.2,E. Jordan,G. Arenas (10.8),#E31837,#002B5C,-0.8,teams/WAS/logos/1998-2007.png,Lost First Round versus <span>Cleveland Cavaliers (0-4)</span>,,,
2007-08,Washington Wizards,Verizon Center,43,0.524,0.2,E. Jordan,A. Jamison (9.2),#E31837,#002B5C,-0.61,teams/WAS/logos/2008-2011.png,Lost First Round versus <span>Cleveland Cavaliers (2-4)</span>,,,
2008-09,Washington Wizards,Verizon Center,19,0.232,0,E. Jordan/E. Tapscott,A. Jamison (8.1),#E31837,#002B5C,-6.98,teams/WAS/logos/2008-2011.png,,,,
2009-10,Washington Wizards,Verizon Center,26,0.317,0,F. Saunders,B. Haywood (4.5),#E31837,#002B5C,-4.72,teams/WAS/logos/2008-2011.png,,,,
2010-11,Washington Wizards,Verizon Center,23,0.28,0,F. Saunders,J. McGee (5.3),#E31837,#002B5C,-7.3,teams/WAS/logos/2008-2011.png,,,,
2011-12,Washington Wizards,Verizon Center,20,0.303,0,F. Saunders/R. Wittman,J. Wall (3.5),#E31837,#002B5C,-5.14,teams/WAS/logos/2012-2015.png,,,,
2012-13,Washington Wizards,Verizon Center,29,0.354,0,R. Wittman,M. Webster (6.3),#E31837,#002B5C,-2.78,teams/WAS/logos/2012-2015.png,,,,
2013-14,Washington Wizards,Verizon Center,44,0.537,0.4,R. Wittman,M. Gortat (8.1),#E31837,#002B5C,0.48,teams/WAS/logos/2012-2015.png,Won First Round versus <span>Chicago Bulls (4-1)</span>,Lost Conference Semifinals versus <span>Indiana Pacers (2-4)</span>,,
2014-15,Washington Wizards,Verizon Center,46,0.561,0.4,R. Wittman,M. Gortat (8.6),#E31837,#002B5C,0.17,teams/WAS/logos/2015-present.png,Won First Round versus <span>Toronto Raptors (4-0)</span>,Lost Conference Semifinals versus <span>Atlanta Hawks (2-4)</span>,,
2015-16,Washington Wizards,Verizon Center,41,0.5,0,R. Wittman,M. Gortat (7.3),#E31837,#002B5C,-0.5,teams/WAS/logos/2015-present.png,,,,
2016-17,Washington Wizards,Verizon Center,49,0.598,0.4,S. Brooks,O. Porter (9.4),#E31837,#002B5C,1.36,teams/WAS/logos/2015-present.png,Won First Round versus <span>Atlanta Hawks (4-2)</span>,Lost Conference Semifinals versus <span>Boston Celtics (3-4)</span>,,
2017-18,Washington Wizards,Capital One Arena,43,0.524,0.2,S. Brooks,O. Porter (8.1),#E31837,#002B5C,0.53,teams/WAS/logos/2015-present.png,Lost First Round versus <span>Toronto Raptors (2-4)</span>,,,
2018-19,Washington Wizards,Capital One Arena,32,0.39,0,S. Brooks,B. Beal (7.6),#E31837,#002B5C,-3.3,teams/WAS/logos/2015-present.png,,,,
2019-20,Washington Wizards,Capital One Arena,25,0.347,0,S. Brooks,B. Beal (5.1),#E31837,#002B5C,-5.24,teams/WAS/logos/2015-present.png,,,,
2020-21,Washington Wizards,Capital One Arena,34,0.472,0.2,S. Brooks,B. Beal (5.9),#E31837,#002B5C,-1.85,teams/WAS/logos/2015-present.png,Lost First Round versus <span>Philadelphia 76ers (1-4)</span>,,,
