season,team,arena,wins,winpercent,playoffs,coach,topWS,color1,color2,srs,logo,opponent1,opponent2,opponent3,opponent4
1971-72,Philadelphia 76ers,The Spectrum,30,0.366,0,J. Ramsay,B. Cunningham (8.3),#006BB6,#ED174C,-3.44,teams/PHI/logos/1964-1977.png,,,,
1972-73,Philadelphia 76ers,The Spectrum,9,0.11,0,R. Rubin/K. Loughery,J. Block (3.4),#006BB6,#ED174C,-11.5,teams/PHI/logos/1964-1977.png,,,,
1973-74,Philadelphia 76ers,The Spectrum,25,0.305,0,G. Shue,S. Mix (8.2),#006BB6,#ED174C,-5.94,teams/PHI/logos/1964-1977.png,,,,
1974-75,Philadelphia 76ers,The Spectrum,34,0.415,0,G. Shue,D. Collins (7.7),#006BB6,#ED174C,-2.6,teams/PHI/logos/1964-1977.png,,,,
1975-76,Philadelphia 76ers,The Spectrum,46,0.561,0.2,G. Shue,D. Collins (10.0),#006BB6,#ED174C,0.33,teams/PHI/logos/1964-1977.png,Lost First Round versus <span>Buffalo Braves (1-2)</span>,,,
1976-77,Philadelphia 76ers,The Spectrum,50,0.61,0.8,G. Shue,J. Erving (11.5),#006BB6,#ED174C,3.78,teams/PHI/logos/1964-1977.png,First Round Bye,Won Conference Semifinals versus <span>Boston Celtics (4-3)</span>,Won Conference Finals versus <span>Houston Rockets (4-2)</span>,Lost Finals versus <span>Portland Trail Blazers (2-4)</span>
1977-78,Philadelphia 76ers,The Spectrum,55,0.671,0.6,G. Shue/B. Cunningham,J. Erving (9.1),#006BB6,#ED174C,4.87,teams/PHI/logos/1978-1997.png,First Round Bye,Won Conference Semifinals versus <span>New York Knicks (4-0)</span>,Lost Conference Finals versus <span>Washington Bullets (2-4)</span>,
1978-79,Philadelphia 76ers,The Spectrum,47,0.573,0.4,B. Cunningham,J. Erving (7.9),#006BB6,#ED174C,1.74,teams/PHI/logos/1978-1997.png,Won First Round versus <span>New Jersey Nets (2-0)</span>,Lost Conference Semifinals versus <span>San Antonio Spurs (3-4)</span>,,
1979-80,Philadelphia 76ers,The Spectrum,59,0.72,0.8,B. Cunningham,J. Erving (12.5),#006BB6,#ED174C,4.04,teams/PHI/logos/1978-1997.png,Won First Round versus <span>Washington Bullets (2-0)</span>,Won Conference Semifinals versus <span>Atlanta Hawks (4-1)</span>,Won Conference Finals versus <span>Boston Celtics (4-1)</span>,Lost Finals versus <span>Los Angeles Lakers (2-4)</span>
1980-81,Philadelphia 76ers,The Spectrum,62,0.756,0.6,B. Cunningham,J. Erving (13.8),#006BB6,#ED174C,7.76,teams/PHI/logos/1978-1997.png,Won First Round versus <span>Indiana Pacers (2-0)</span>,Won Conference Semifinals versus <span>Milwaukee Bucks (4-3)</span>,Lost Conference Finals versus <span>Boston Celtics (3-4)</span>,
1981-82,Philadelphia 76ers,The Spectrum,58,0.707,0.8,B. Cunningham,J. Erving (13.3),#006BB6,#ED174C,5.74,teams/PHI/logos/1978-1997.png,Won First Round versus <span>Atlanta Hawks (2-0)</span>,Won Conference Semifinals versus <span>Milwaukee Bucks (4-2)</span>,Won Conference Finals versus <span>Boston Celtics (4-3)</span>,Lost Finals versus <span>Los Angeles Lakers (2-4)</span>
1982-83,Philadelphia 76ers,The Spectrum,65,0.793,1,B. Cunningham,M. Malone (15.1),#006BB6,#ED174C,7.53,teams/PHI/logos/1978-1997.png,First Round Bye,Won Conference Semifinals versus <span>New York Knicks (4-0)</span>,Won Conference Finals versus <span>Milwaukee Bucks (4-1)</span>,Won Finals versus <span>Los Angeles Lakers (4-0)</span>
1983-84,Philadelphia 76ers,The Spectrum,52,0.634,0.2,B. Cunningham,J. Erving (10.1),#006BB6,#ED174C,2.39,teams/PHI/logos/1978-1997.png,Lost First Round versus <span>New Jersey Nets (2-3)</span>,,,
1984-85,Philadelphia 76ers,The Spectrum,58,0.707,0.6,B. Cunningham,M. Malone (11.9),#006BB6,#ED174C,4.17,teams/PHI/logos/1978-1997.png,Won First Round versus <span>Washington Bullets (3-1)</span>,Won Conference Semifinals versus <span>Milwaukee Bucks (4-0)</span>,Lost Conference Finals versus <span>Boston Celtics (1-4)</span>,
1985-86,Philadelphia 76ers,The Spectrum,54,0.659,0.4,M. Guokas,C. Barkley (10.8),#006BB6,#ED174C,2.46,teams/PHI/logos/1978-1997.png,Won First Round versus <span>Washington Bullets (3-2)</span>,Lost Conference Semifinals versus <span>Milwaukee Bucks (3-4)</span>,,
1986-87,Philadelphia 76ers,The Spectrum,45,0.549,0.2,M. Guokas,C. Barkley (12.0),#006BB6,#ED174C,0.11,teams/PHI/logos/1978-1997.png,Lost First Round versus <span>Milwaukee Bucks (2-3)</span>,,,
1987-88,Philadelphia 76ers,The Spectrum,36,0.439,0,M. Guokas/J. Lynam,C. Barkley (16.7),#006BB6,#ED174C,-0.79,teams/PHI/logos/1978-1997.png,,,,
1988-89,Philadelphia 76ers,The Spectrum,46,0.561,0.2,J. Lynam,C. Barkley (16.1),#006BB6,#ED174C,1.68,teams/PHI/logos/1978-1997.png,Lost First Round versus <span>New York Knicks (0-3)</span>,,,
1989-90,Philadelphia 76ers,The Spectrum,53,0.646,0.4,J. Lynam,C. Barkley (17.3),#006BB6,#ED174C,4.23,teams/PHI/logos/1978-1997.png,Won First Round versus <span>Cleveland Cavaliers (3-2)</span>,Lost Conference Semifinals versus <span>Chicago Bulls (1-4)</span>,,
