team,championships,years,stack,logo
Philadelphia Warriors,1,1947,1,./teams/GSW/logos/1946-1951.png
New York Knicks,0,None,2,./teams/NYK/logos/1946-1964.png
Boston Celtics,0,None,1,./teams/BOS/logos/1946-1950.png
Baltimore Bullets,1,1948,2,./teams/BAL/logos/1948-1954.png
Minneapolis Lakers,2,1949 1950,1,./teams/LAL/logos/1949-1960.png
Rochester Royals,0,None,3,./teams/SAC/logos/1949-1957.png
Fort Wayne Pistons,0,None,4,./teams/DET/logos/1949-1957.png
Tri-Cities Blackhawks,0,None,6,./teams/ATL/logos/1950-1951.png
Syracuse Nationals,0,None,5,./teams/PHI/logos/1950-1963.png
