team,championships,years,stack,logo
Philadelphia Warriors,2,1947 1956,1,./teams/GSW/logos/1952-1962.png
New York Knicks,0,None,1,./teams/NYK/logos/1946-1964.png
Boston Celtics,1,1957,3,./teams/BOS/logos/1951-1960.png
Minneapolis Lakers,5,1949 1950 1952 1953 1954,1,./teams/LAL/logos/1949-1960.png
Rochester Royals,1,1951,1,./teams/SAC/logos/1949-1957.png
Fort Wayne Pistons,0,None,2,./teams/DET/logos/1949-1957.png
St. Louis Hawks,0,None,3,./teams/ATL/logos/1956-1957.png
Syracuse Nationals,1,1955,2,./teams/PHI/logos/1950-1963.png
