team,championships,years,stack,logo
Golden State Warriors,3,1975<p>Philadelphia Warriors</p>1947 1956,1,./teams/GSW/logos/1998-2010.png
New York Knicks,2,1970 1973,1,./teams/NYK/logos/1996-2011.png
Boston Celtics,17,1957 1959 1960 1961 1962 1963 1964 1965 1966 1968 1969 1974 1976 1981 1984 1986 2008,1,./teams/BOS/logos/1997-present.png
Los Angeles Lakers,14,1972 1980 1982 1985 1987 1988 2000 2001 2002<p>Minneapolis Lakers</p>1949 1950 1952 1953 1954,1,./teams/LAL/logos/2002-present.png
Sacramento Kings,1,None<p>Rochester Royals</p>1951,1,./teams/SAC/logos/1995-2016.png
Detroit Pistons,3,1989 1990 2004,3,./teams/DET/logos/2006-2017.png
Atlanta Hawks,1,1958,2,./teams/ATL/logos/2008-2015.png
Philadelphia 76ers,3,1967 1983<p>Syracuse Nationals</p>1955,2,./teams/PHI/logos/1998-2009.png
Washington Wizards,1,None<p>Washington Bullets</p>1978,5,./teams/WAS/logos/2008-2011.png
Chicago Bulls,6,1991 1992 1993 1996 1997 1998,1,./teams/CHI/logos/1967-present.png
Seattle SuperSonics,1,1979,6,./teams/OKC/logos/2002-2008.png
Houston Rockets,2,1994 1995,2,./teams/HOU/logos/2004-2018.png
Phoenix Suns,0,None,1,./teams/PHO/logos/2001-2013.png
Milwaukee Bucks,1,1971,3,./teams/MIL/logos/2007-2015.png
Portland Trail Blazers,1,1977,4,./teams/POR/logos/2005-2017.png
Cleveland Cavaliers,0,None,3,./teams/CLE/logos/2004-2010.png
Los Angeles Clippers,0,None,2,./teams/LAC/logos/1985-2010.png
Utah Jazz,0,None,4,./teams/UTA/logos/2005-2010.png
New Jersey Nets,0,None,5,./teams/BRK/logos/1998-2012.png
Indiana Pacers,0,None,6,./teams/IND/logos/2006-2017.png
Denver Nuggets,0,None,7,./teams/DEN/logos/2004-2008.png
San Antonio Spurs,4,1999 2003 2005 2007,1,./teams/SAS/logos/2003-2017.png
Dallas Mavericks,0,None,8,./teams/DAL/logos/2002-2017.png
New Orleans/Oklahoma City Hornets,0,None,9,./teams/NOP/logos/2003-2008.png
Miami Heat,1,2006,7,./teams/MIA/logos/2000-present.png
Orlando Magic,0,None,10,./teams/ORL/logos/2001-2010.png
Minnesota Timberwolves,0,None,11,./teams/MIN/logos/1997-2008.png
Memphis Grizzlies,0,None,12,./teams/MEM/logos/2005-2018.png
Toronto Raptors,0,None,13,./teams/TOR/logos/1996-2008.png
Charlotte Bobcats,0,None,14,./teams/CHA/logos/2008-2012.png
