team,championships,years,stack,logo
San Francisco Warriors,2,None<p>Philadelphia Warriors</p>1947 1956,1,./teams/GSW/logos/1963-1969.png
New York Knicks,0,None,1,./teams/NYK/logos/1946-1964.png
Boston Celtics,6,1957 1959 1960 1961 1962 1963,1,./teams/BOS/logos/1961-1968.png
Los Angeles Lakers,5,None<p>Minneapolis Lakers</p>1949 1950 1952 1953 1954,1,./teams/LAL/logos/1961-1976.png
Cincinnati Royals,1,None<p>Rochester Royals</p>1951,1,./teams/SAC/logos/1958-1971.png
Detroit Pistons,0,None,2,./teams/DET/logos/1958-1971.png
St. Louis Hawks,1,1958,3,./teams/ATL/logos/1958-1968.png
Syracuse Nationals,1,1955,2,./teams/PHI/logos/1950-1963.png
Chicago Zephyrs,0,None,3,./teams/WAS/logos/1963.png
