team,championships,stack,logo
GSW,3,1,./teams/GSW/logos/1998-2010.png
NYK,2,1,./teams/NYK/logos/1996-2011.png
BOS,16,1,./teams/BOS/logos/1997-present.png
LAL,14,1,./teams/LAL/logos/2002-present.png
SAC,1,1,./teams/SAC/logos/1995-2016.png
DET,2,2,./teams/DET/logos/2002-2005.png
ATL,1,2,./teams/ATL/logos/1996-2007.png
PHI,3,2,./teams/PHI/logos/1998-2009.png
WAS,1,5,./teams/WAS/logos/1998-2007.png
CHI,6,1,./teams/CHI/logos/1967-present.png
OKC,1,6,./teams/OKC/logos/2002-2008.png
HOU,2,3,./teams/HOU/logos/1996-2003.png
PHO,0,1,./teams/PHO/logos/2001-2013.png
MIL,1,3,./teams/MIL/logos/1994-2006.png
POR,1,4,./teams/POR/logos/2003.png
CLE,0,3,./teams/CLE/logos/1995-2003.png
LAC,0,2,./teams/LAC/logos/1985-2010.png
UTA,0,4,./teams/UTA/logos/1997-2004.png
BKN,0,5,./teams/BKN/logos/1998-2012.png
IND,0,6,./teams/IND/logos/1991-2005.png
DEN,0,7,./teams/DEN/logos/1994-2003.png
SAS,2,4,./teams/SAS/logos/2003-2017.png
DAL,0,8,./teams/DAL/logos/2002-2017.png
NOP,0,9,./teams/NOP/logos/2003-2008.png
MIA,0,10,./teams/MIA/logos/2000-present.png
ORL,0,11,./teams/ORL/logos/2001-2010.png
MIN,0,12,./teams/MIN/logos/1997-2008.png
MEM,0,13,./teams/MEM/logos/2002-2004.png
TOR,0,14,./teams/TOR/logos/1996-2008.png
