team,championships,years,stack,logo
Golden State Warriors,2,None<p>Philadelphia Warriors</p>1947 1956,1,./teams/GSW/logos/1972-1975.png
New York Knicks,1,1970,3,./teams/NYK/logos/1965-1979.png
Boston Celtics,11,1957 1959 1960 1961 1962 1963 1964 1965 1966 1968 1969,1,./teams/BOS/logos/1969-1974.png
Los Angeles Lakers,6,1972<p>Minneapolis Lakers</p>1949 1950 1952 1953 1954,1,./teams/LAL/logos/1961-1976.png
Cincinnati Royals,1,None<p>Rochester Royals</p>1951,1,./teams/SAC/logos/1972.png
Detroit Pistons,0,None,1,./teams/DET/logos/1972-1975.png
Atlanta Hawks,1,1958,2,./teams/ATL/logos/1971-1972.png
Philadelphia 76ers,2,1967<p>Syracuse Nationals</p>1955,2,./teams/PHI/logos/1964-1977.png
Baltimore Bullets,0,None,2,./teams/WAS/logos/1972.png
Chicago Bulls,0,None,3,./teams/CHI/logos/1967-present.png
Seattle SuperSonics,0,None,4,./teams/OKC/logos/1972-1975.png
Houston Rockets,0,None,5,./teams/HOU/logos/1972.png
Phoenix Suns,0,None,6,./teams/PHO/logos/1969-1992.png
Milwaukee Bucks,1,1971,4,./teams/MIL/logos/1969-1993.png
Portland Trail Blazers,0,None,9,./teams/POR/logos/1971-1990.png
Cleveland Cavaliers,0,None,8,./teams/CLE/logos/1971-1983.png
Buffalo Braves,0,None,7,./teams/LAC/logos/1972-1978.png
