team,championships,years,stack,logo
Philadelphia Warriors,2,1947 1956,1,./teams/GSW/logos/1951.png
New York Knicks,0,None,2,./teams/NYK/logos/1946.png
Boston Celtics,0,None,1,./teams/BOS/logos/1946.png
Minneapolis Lakers,5,1949 1950 1952 1953 1954,1,./teams/LAL/logos/1948.png
Rochester Royals,1,1951,1,./teams/SAC/logos/1948.png
Fort Wayne Pistons,0,None,3,./teams/DET/logos/1948.png
St. Louis Hawks,0,None,4,./teams/ATL/logos/1955.png
Syracuse Nationals,1,1955,2,./teams/PHI/logos/1949.png
