team,championships,years,stack,logo
Golden State Warriors,3,1975<p>Philadelphia Warriors</p>1947 1956,1,./teams/GSW/logos/1976-1988.png
New York Knicks,2,1970 1973,2,./teams/NYK/logos/1965-1979.png
Boston Celtics,13,1957 1959 1960 1961 1962 1963 1964 1965 1966 1968 1969 1974 1976,1,./teams/BOS/logos/1975-1996.png
Los Angeles Lakers,6,1972<p>Minneapolis Lakers</p>1949 1950 1952 1953 1954,1,./teams/LAL/logos/1961-1976.png
Kansas City Kings,1,None<p>Rochester Royals</p>1951,1,./teams/SAC/logos/1976-1985.png
Detroit Pistons,0,None,1,./teams/DET/logos/1976-1979.png
Atlanta Hawks,1,1958,2,./teams/ATL/logos/1973-1995.png
Philadelphia 76ers,2,1967<p>Syracuse Nationals</p>1955,1,./teams/PHI/logos/1964-1977.png
Washington Bullets,0,None,2,./teams/WAS/logos/1975-1987.png
Chicago Bulls,0,None,3,./teams/CHI/logos/1967-present.png
Seattle SuperSonics,0,None,4,./teams/OKC/logos/1976-1995.png
Houston Rockets,0,None,5,./teams/HOU/logos/1973-1995.png
Phoenix Suns,0,None,6,./teams/PHO/logos/1969-1992.png
Milwaukee Bucks,1,1971,3,./teams/MIL/logos/1969-1993.png
Portland Trail Blazers,0,None,9,./teams/POR/logos/1971-1990.png
Cleveland Cavaliers,0,None,8,./teams/CLE/logos/1971-1983.png
Buffalo Braves,0,None,7,./teams/LAC/logos/1972-1978.png
New Orleans Jazz,0,None,10,./teams/UTA/logos/1975-1979.png
