team,championships,stack,logo
GSW,3,1,./teams/GSW/logos/1989-1997.png
NYK,2,1,./teams/NYK/logos/1996-2011.png
BOS,16,1,./teams/BOS/logos/1997-present.png
LAL,11,1,./teams/LAL/logos/1977-2001.png
SAC,1,1,./teams/SAC/logos/1995-2016.png
DET,2,2,./teams/DET/logos/1997-2001.png
ATL,1,2,./teams/ATL/logos/1996-2007.png
PHI,3,2,./teams/PHI/logos/1978-1997.png
WAS,1,5,./teams/WAS/logos/1988-1997.png
CHI,5,1,./teams/CHI/logos/1967-present.png
OKC,1,6,./teams/OKC/logos/1996-2001.png
HOU,2,3,./teams/HOU/logos/1996-2003.png
PHO,0,1,./teams/PHO/logos/1993-2000.png
MIL,1,3,./teams/MIL/logos/1994-2006.png
POR,1,4,./teams/POR/logos/1991-2002.png
CLE,0,3,./teams/CLE/logos/1995-2003.png
LAC,0,2,./teams/LAC/logos/1985-2010.png
UTA,0,4,./teams/UTA/logos/1997-2004.png
BKN,0,5,./teams/BKN/logos/1991-1997.png
IND,0,6,./teams/IND/logos/1991-2005.png
DEN,0,7,./teams/DEN/logos/1994-2003.png
SAS,0,8,./teams/SAS/logos/1990-2002.png
DAL,0,9,./teams/DAL/logos/1994-2001.png
CHA,0,10,./teams/CHA/logos/1989-2002.png
MIA,0,11,./teams/MIA/logos/1989-1999.png
ORL,0,12,./teams/ORL/logos/1990-2000.png
MIN,0,13,./teams/MIN/logos/1997-2008.png
MEM,0,14,./teams/MEM/logos/1996-2001.png
TOR,0,15,./teams/TOR/logos/1996-2008.png
