team,championships,years,stack,logo
Golden State Warriors,2,None<p>Philadelphia Warriors</p>1947 1956,1,./teams/GSW/logos/1971.png
New York Knicks,2,1970 1973,3,./teams/NYK/logos/1964.png
Boston Celtics,12,1957 1959 1960 1961 1962 1963 1964 1965 1966 1968 1969 1974,1,./teams/BOS/logos/1969.png
Los Angeles Lakers,6,1972<p>Minneapolis Lakers</p>1949 1950 1952 1953 1954,1,./teams/LAL/logos/1971.png
Kansas City-Omaha Kings,1,None<p>Rochester Royals</p>1951,1,./teams/SAC/logos/1972.png
Detroit Pistons,0,None,1,./teams/DET/logos/1968.png
Atlanta Hawks,1,1958,2,./teams/ATL/logos/1972.png
Philadelphia 76ers,2,1967<p>Syracuse Nationals</p>1955,2,./teams/PHI/logos/1963.png
Capital Bullets,0,None,2,./teams/WAS/logos/1973.png
Chicago Bulls,0,None,3,./teams/CHI/logos/1966.png
Seattle SuperSonics,0,None,4,./teams/OKC/logos/1971.png
Houston Rockets,0,None,5,./teams/HOU/logos/1972.png
Phoenix Suns,0,None,6,./teams/PHO/logos/1968.png
Milwaukee Bucks,1,1971,3,./teams/MIL/logos/1968.png
Portland Trail Blazers,0,None,9,./teams/POR/logos/1970.png
Cleveland Cavaliers,0,None,8,./teams/CLE/logos/1970.png
Buffalo Braves,0,None,7,./teams/LAC/logos/1971.png
